ITER	CANDIDATE	VOTES
1	TAYLOR Nadine	876.000000000
1	ODDIE David	489.000000000
1	FAULLS Barbara	465.000000000
1	IRELAND Rick	419.000000000
1	GIMPL Carmen	336.000000000
1	BRIGGS Jane	229.000000000
1	WOLEDGE Rebecca	153.000000000
1	HOWARD Glenn	118.000000000
2	TAYLOR Nadine	771.250000500
2	ODDIE David	516.502853750
2	FAULLS Barbara	482.577910875
2	IRELAND Rick	428.327054750
2	GIMPL Carmen	353.338755625
2	BRIGGS Jane	240.838184875
2	WOLEDGE Rebecca	163.044520500
2	HOWARD Glenn	123.141837875
3	TAYLOR Nadine	790.844465700
3	ODDIE David	543.078413896
3	FAULLS Barbara	495.435156904
3	IRELAND Rick	447.794269503
3	GIMPL Carmen	368.920292612
3	BRIGGS Jane	250.219948043
3	WOLEDGE Rebecca	172.400689138
3	HOWARD Glenn	0.000000000
4	TAYLOR Nadine	823.432685208
4	ODDIE David	569.733518512
4	FAULLS Barbara	514.860508584
4	IRELAND Rick	470.906106412
4	GIMPL Carmen	401.598434644
4	BRIGGS Jane	266.924003620
4	HOWARD Glenn	0.000000000
4	WOLEDGE Rebecca	0.000000000
5	TAYLOR Nadine	818.648695086
5	ODDIE David	620.086899724
5	FAULLS Barbara	581.505743617
5	IRELAND Rick	505.626458978
5	GIMPL Carmen	476.026495896
5	BRIGGS Jane	0.000000000
5	HOWARD Glenn	0.000000000
5	WOLEDGE Rebecca	0.000000000
6	TAYLOR Nadine	750.473573382
6	ODDIE David	640.316126588
6	FAULLS Barbara	597.203098229
6	IRELAND Rick	513.902051786
6	GIMPL Carmen	491.264095352
6	BRIGGS Jane	0.000000000
6	HOWARD Glenn	0.000000000
6	WOLEDGE Rebecca	0.000000000
7	TAYLOR Nadine	881.655441100
7	FAULLS Barbara	722.571572700
7	ODDIE David	722.246198500
7	IRELAND Rick	572.285043900
7	BRIGGS Jane	0.000000000
7	GIMPL Carmen	0.000000000
7	HOWARD Glenn	0.000000000
7	WOLEDGE Rebecca	0.000000000
8	ODDIE David	772.942454540
8	FAULLS Barbara	772.497759028
8	TAYLOR Nadine	724.689564804
8	IRELAND Rick	594.488720596
8	BRIGGS Jane	0.000000000
8	GIMPL Carmen	0.000000000
8	HOWARD Glenn	0.000000000
8	WOLEDGE Rebecca	0.000000000
